| ion |      wave | NIST | Instr | amplitude |       Source |
| ArI | 11763.866 |    1 |   362 |   42880.0 | Ar_lines.dat |
| HgI | 11763.866 |    1 |   517 |   42880.0 | Hg_lines.dat |
| ArI | 11772.782 |    1 |   363 |   42010.0 | Ar_lines.dat |
| HgI | 11772.782 |    1 |   519 |   42010.0 | Hg_lines.dat |
| KrI | 11785.330 |    1 |   204 |   27080.0 | Kr_lines.dat |
| KrI | 11795.640 |    1 |   205 |   31010.0 | Kr_lines.dat |
| XeI | 11796.790 |    1 |   203 |   19290.0 | Xe_lines.dat |
| KrI | 11822.614 |    1 |   206 |   79660.0 | Kr_lines.dat |
| XeI | 11860.560 |    1 |   204 |   25900.0 | Xe_lines.dat |
| XeI | 11861.110 |    1 |   205 |   26390.0 | Xe_lines.dat |
| XeI | 11877.610 |    1 |   206 |   26870.0 | Xe_lines.dat |
| ArI | 11878.100 |    1 |   364 |   46810.0 | Ar_lines.dat |
| HgI | 11878.100 |    1 |   520 |   46810.0 | Hg_lines.dat |
| XeI | 11915.360 |    1 |   207 |   19850.0 | Xe_lines.dat |
| XeI | 11954.370 |    1 |   208 |   11860.0 | Xe_lines.dat |
| XeI | 11956.270 |    1 |   209 |   15810.0 | Xe_lines.dat |
| KrI | 11970.457 |    1 |   207 |   23670.0 | Kr_lines.dat |
| KrI | 11999.280 |    1 |   208 |   30930.0 | Kr_lines.dat |
| KrI | 12000.385 |    1 |   209 |   30650.0 | Kr_lines.dat |
| ArI | 12030.334 |    1 |   365 |   66410.0 | Ar_lines.dat |
| HgI | 12030.334 |    1 |   527 |   66410.0 | Hg_lines.dat |
| ArI | 12046.238 |    1 |   366 |   56240.0 | Ar_lines.dat |
| HgI | 12046.238 |    1 |   528 |   56240.0 | Hg_lines.dat |
| ArI | 12062.335 |    1 |   367 |   41880.0 | Ar_lines.dat |
